arxiv_id	title	summary	is_cond_mat	num_refs	num_refs_same_category
hep-th/9205057	New Methods of Integration in Matrix Models	We discuss a new method of integration over matrix variables based on a suitable gauge choice in which the angular variables decouple from the eigenvalues at least for a class of two-matrix models. The calculation of correlation functions involving angular variables is simple in this gauge. Where the method is applicable it also gives an extremely simple proof of the classical integration formula used to reduce multi-matrix models to an integral over the eigenvalues.	0	2	2
hep-lat/9206008	Fermion-Higgs model with Reduced Staggered Fermions	We introduce a lattice fermion-Higgs model with one component `reduced staggered' fermions. In order to use the fermion field as efficiently as possible we couple the two {\em staggered} flavors to the O(4) Higgs field leading to a model with only one SU(2) doublet in the scaling region. The number of fermions is doubled in a numerical investigation of the model with the hybrid Monte Carlo algorithm. We present results for the phase diagram, particle masses and renormalized couplings on lattices ranging in size from $6^3 24$ to $16^3 24$.	0	18	18
hep-ph/9206242	$SU(3)\otimes U(1)$ Model for Electroweak Interactions	We consider a gauge model based on $SU(3)\otimes U(1)$ symmetry in which the lepton number is violated explicitly by charged scalar and gauge bosons, including a vector field with double electric charge. Although there exist in the literature several models based on a $SU(3)\otimes U(1)$ gauge symmetry, our model has a different representation content and a quite different new physics at an, in principle, arbitrary mass scale. This is possibly the simplest way to enlarge the gauge group $SU_L(2)\otimes U_Y(1)$ in order to have doubly charged gauge bosons, without losing the natural features of the standard electroweak model. The price we must pay is the introduction of exotic quarks, with electric charge $5/3$ and $-4/3$. A previous version of the model was considered several months ago concerning the possibility that in this kind of models neutrinoless double beta decay proceeds even for massless neutrinos and with scalar exchange instead of vector exchange. Our work is in press in Physical Review D.	0	517	506
hep-ph/9207202	Dilatonic Domain Walls	Eq.(19) is added and related issues are further clarified. Also some typos and signs a re corrected.	0	3	0
hep-ph/9207207	Majorons from Double Beta Decay	Wrong preprint number changed on previous version.	0	1	1
math/9207202	Sequences of analytic disks	The subject considered in this paper has, at least, three points of interest. Suppose that we have a sequence of one-dimensional analytic varieties in a domain in $\Bbb C^n$. The cluster of this sequence consists from all points in the domains such that every neighbourhood of such points intersects with infinitely many different varieties. The first question is: what analytic properties does the cluster inherit from varieties? We give a sufficient criterion when the cluster contains an analytic disk, but it follows from examples of Stolzenberg and Wermer that, in general, clusters can contain no analytic disks. So we study algebras of continuous function on clusters, which can be approximated by holomorphic functions or polynomials, and show that this algebras possess some analytic properties in all but explicitly pathological and uninteresting cases. Secondly, we apply and results about clusters to polynomial hulls and maximal functions, finding remnants of analytic structures there too. And, finally, due to more and more frequent appearances of analytic disks as tools in complex analysis, it seems to be interesting to look at their sequences to establish terminology, basic notation and properties.	0	0	0
hep-th/9207038	Compensating Fields and Anomalies in Supergravity	We discuss the quantization of theories which are formulated using compensating fields. In particular, we discuss the relation between the components formulation and the superspace formulation of supergravity theories. The requirement that the compensating field can be eliminated at the quantum level gives rise to on-shell constraints on the operators of the theory. In some cases, the constraints turn out to be physically unacceptable. Using these considerations we show that new minimal supergravity is in general anomalous.	0	0	0
hep-lat/9207017	The equivalence of the SU(N) Yang Mills Theory with a Purely Fermionic Model	We investigate the detailed conditions under which a purely fermionic model with current-current interaction goes over to a renormalizable, asymptotically free SU$(N)$ gauge theory.	0	53	9
hep-th/9207097	The Large-$N$ Limit of the Two-Hermitian-matrix model by the hidden BRST method	This paper discusses the large N limit of the two-Hermitian-matrix model in zero dimensions, using the hidden BRST method. A system of integral equations previously found is solved, showing that it contained the exact solution of the model in leading order of large $N$.	0	18	18
hep-th/9208081	c = 1 Two Dimensional Quantum Gravity	The continuum (Liouville) approach to the two-dimensional (2-D) quantum gravity is reviewed with particular attention to the $c=1$ conformal matter coupling, and new results on a related problem of dilaton gravity are reported. After finding the physical states, we examine the procedure to compute correlation functions. The physical states in the relative cohomology show up as intermediate state poles of the correlation functions. The states in the absolute cohomology but not in the relative cohomology arise as auxiliary fields in string field theory. The Liouville approach is applied also to the quantum treatment of the dilaton gravity. The physical states are obtained from the BRST cohomology and correlation functions are computed in the dilaton gravity.	0	0	0
hep-lat/9209002	Critical Momenta of Lattice Chiral Fermions	We determine the critical momenta for chiral fermions in the domain wall model recently suggested by Kaplan. For a wide range of domain wall masses $m$ and Wilson couplings $r$ we explicitly exhibit the regions in momentum space where the fermions are chiral. We compare the critical momenta for the infinitely large system with those obtained on a finite lattice.	0	27	22
hep-th/9209048	Locality and Integration in Topological Field Theory	This paper is an expanded version of a talk given at the XIX International Colloquium on Group Theoretical Methods in Physics, Salamanca, July, 1992. We discuss the geometry of topological terms in classical actions, which by themselves form the actions of topological field theories. We first treat the Chern-Simons action directly. Then we explain how the geometry is best understood via integration of smooth Deligne cocycles. We conclude with some remarks about the corresponding quantum theories in 3 and 4 dimensions. This paper is written using AMSTeX 2.1, which can be obtained via ftp from the American Mathematical Society (instructions included).	0	5	3
hep-ph/9209261	Radiative Semileptonic Kaon Decays	We evaluate the matrix elements for the radiative kaon decays $K^+ \to l^+\nu_l\gamma$, $l^+ \nu_l l'^+ l'^-$ and $K \to \pi l \nu_l\gamma$ \ ($l,\ l' = e,\mu$) to next-to-leading order in chiral perturbation theory. We calculate total rates and rates with several kinematical cuts and confront the results with existing data. Measurements at future kaon facilities will allow for a more detailed comparison between theory and experiment.	0	98	64
hep-th/9210007	Virasoro Representations on Fusion Graphs	For any non-unitary model with central charge c(2,q) the path spaces associated to a certain fusion graph are isomorphic to the irreducible Virasoro highest weight modules.	0	2	1
hep-lat/9210002	4d Simplicial Quantum Gravity with a Non-Trivial Measure	We study 4d simplicial quantum gravity in the dynamical triangulation approach with a non-trivial class of measures. We find that the measure contribution plays an important role, influencing the phase diagram and the nature of the (possible) critical theory. We discuss how the lattice theory could be used to fix the quantum measure in a non-ambiguous way.	0	43	29
hep-ph/9210224	Dilatons in the topological soliton model for the hyperons	We show that the predicted hyperon masses in the topological soliton model are very sensitive to the value of the gluon condensate parameter that appears when the scale invariance and trace anomaly of QCD are taken into account by introduction of a dilaton field. This contrasts with the insensitivity of the soliton properties to the dilaton coupling. In order that the predicted strange and charmed hyperon spectra agree with the empirical ones the gluon condensate parameter has to be about (400 MeV)$^4$, which agrees with the result obtained from QCD sum rules. This implies that the bag formed by the scalar field must be very shallow.	0	1	0
hep-ph/9210255	Analytical on-shell QED results: 3-loop vacuum polarization, 4-loop beta-function and the muon anomaly	We present the results of analytical calculations of the 3-loop contributions to the asymptotic photon vacuum polarization function, in the on shell scheme, and of the 4-loop contributions to the on shell QED beta-function. These are used to evaluate various 4-loop and 5-loop contributions to the muon anomaly. Our analytical contributions to (g-2)_\mu differ significantly from previous numerical results. A very recent numerical re-evaluation of 4-loop muon-anomaly contributions has yielded results much closer to ours.	0	50	44
nucl-th/9210019	Finite volume of baryons and the mass limit for neutron stars	We confirmed the following idea by numerical calculation: The extended structure of baryons may make the nuclear equation of state stiffer at higher density while keeping the compression modulus for normal nuclear matter around its empirical value $K=240MeV$.The model built in this wayy fits all empirical data for normal nuclear matter and gives the mass limit of neutron stars compatible with the observation.	0	1	1
hep-th/9210161	Electron--Electron Bound States in QED$_{3}$	This paper is dedicated to the study of the existence and the properties of electron-electron bound states in QED$_3$. A detailed analysis of the infrared structure of the perturbative series of the theory is presented. We start by analyzing the two-point Green's function, in the Bloch-Nordsieck approximation. The theory appears to be plagued by severe infrared divergencies, which nevertheless disappear when vacuum-polarization effects are non-perturbatively taken into account. The dynamical induction of a Chern-Simons term is at the root of this mechanism. {}From the inspection of the electron-electron non-relativistic potential it then follows that equally charged fermions may either repel or attract and, moreover, that bound states do in fact exist in the theory. We calculate numerically the binding energies and average radius of the bound states. We find an accidental quasi-degeneracy of the ground state of the system, between the lowest-energy $l=-3$ and $l=-5$ states, which could be related to a radio-frequency resonance in high-$T_c$ superconductors.	0	0	0
hep-lat/9211023	Quantum-Gravity Path-Integrals on Simplicial Lattices	Euclidean quantum-gravity path-integrals are investigated within Regge calculus by computer simulations. The domain of integration is restricted by introducing a lower limit for the fatness of each simplex. We use the standard hypercubic triangulation of the 4-torus and irregularly triangulated lattices obtained by inserting a small number of vertices using barycentric subdivision. For limited fatness we find an entropy dominated phase with small negative curvature both for the regular and the irregular triangulation.	0	0	0
hep-th/9211060	On Macroscopic Energy Gap for $q$-Quantum Mechanical Systems	The q-deformed harmonic oscillator within the framework of the recently introduced Schwenk-Wess $q$-Heisenberg algebra is considered. It is shown, that for "physical" values $q\sim1$, the gap between the energy levels decreases with growing energy. Comparing with the other (real) $q$-deformations of the harmonic oscillator, where the gap instead increases, indicates that the formation of the macroscopic energy gap in the Schwenk-Wess $q$-Quantum Mechanics may be avoided.	0	0	0
hep-lat/9211047	The Loop-Cluster Algorithm for the Case of the 6 Vertex Model	We present the loop algorithm, a new type of cluster algorithm that we recently introduced for the F model. Using the framework of Kandel and Domany, we show how to GENERALIZE the algorithm to the arrow flip symmetric 6 vertex model. We propose the principle of least possible freezing as the guide to choosing the values of free parameters in the algorithm. Finally, we briefly discuss the application of our algorithm to simulations of quantum spin systems. In particular, all necessary information is provided for the simulation of spin $\half$ Heisenberg and $xxz$ models.	0	8	2
hep-ph/9212207	On the CP-odd Nucleon Potential	The CP-odd nucleon potential for different models of CP violation in the one meson exchange approximation is studied. It is shown that the main contribution is due to the $\pi$-meson exchange which leads to a simple one parameter CP-odd nucleon potential.	0	17	2
hep-th/9212057	CPT Violation in String-Modified Quantum Mechanics and the Neutral Kaon System	We show that $CPT$ is in general violated in a non-quantum-mechanical way in the effective low-energy theory derived from string theory, as a result of apparent world-sheet charge non-conservation induced by stringy monopoles corresponding to target-space black hole configurations. This modification of quantum mechanics does not violate energy conservation. The magnitude of this effective spontaneous violation of $CPT$ may not be be far from the present experimental sensitivity in the neutral kaon system. We demonstrate that our previously proposed stringy modifications to the quantum-mechanical description of the neutral kaon system violate $CPT$, although in a different way from that assumed in phenomenological analyses within conventional quantum mechanics. We constrain the novel $CPT$-violating parameters using available data on $K_L \rightarrow 2\pi$, $K_S \rightarrow 3\pi ^0$ and semileptonic $K_{L,S}$ decay asymmetries. We demonstrate that these data and an approximate treatment of interference effects in $K \rightarrow 2\pi $ decays are consistent with a {\it non-vanishing} amount of $CPT$ violation at a level accessible to a new round of experiments, and further data and/or analysis are required to exclude the extreme possibility that they dominate over $CP$ violation. Could non-quantum-field theoretical and non-quantum-mechanical $CPT$ violation usher in the long-awaited era of string phenomenology?}	0	43	13
nucl-th/9212014	Dynamics of antibaryon-baryon annihilation in the Skyrme model	We examine the dynamics of a baryon number zero lump in the Skyrme picture, as a model for annihilation in the $\bar{N}N$ system. We find that radiation propagates at the causal limit as a localized pulse and that the linearized theory gives a good approximation. Both of these results are contrary to findings in the Sine-Gordon model.	0	10	4
hep-th/9301097	Developing the Covariant Batalin-Vilkovisky approach to String Theory	We investigate the variation of the string field action under changes of the string field vertices giving rise to different decompositions of the moduli spaces of Riemann surfaces. We establish that any such change in the string action arises from a field transformation canonical with respect to the Batalin-Vilkovisky (BV) antibracket, and find the explicit form of the generator of the infinitesimal transformations. Two theories using different decompositions of moduli space are shown to yield the same gauge fixed action upon use of different gauge fixing conditions. We also elaborate on recent work on the covariant BV formalism, and emphasize the necessity of a measure in the space of two dimensional field theories in order to extend a recent analysis of background independence to quantum string field theory.	0	39	36
gr-qc/9301022	An Anisotropic Wormhole:TUNNELLING in Time and Space	We discuss the structure of a gravitational euclidean instanton obtained through coupling of gravity to electromagnetism. Its topology at fixed $t$ is $S^1\times S^2$. This euclidean solution can be interpreted as a tunnelling to a hyperbolic space (baby universe) at $t=0$ or alternatively as a static wormhole that joins the two asymptotically flat spaces of a Reissner--Nordstr\"om type solution with $M=0$.	0	2	2
cond-mat/9302001	Comment on the Coupling of Zero Sound to the $J=1^-$ Modes of $^3$He-B	Features in the zero sound attenuation near the pair-breaking edge in superfluid $^3$He-B have been observed in large magnetic fields. Schopohl and Tewordt [{\sl J. Low Temp. Phys.} {\bf 57}, 601 (1984)] claim that the $J=1^-, M=\pm 1$ order-parameter collective modes couple to zero sound as a result of the distortion of the equilibrium order parameter by a magnetic field; they identify the new features with these modes. However, we show that, when the effect of gap distortion on the collective modes is properly taken into account, the collective mode equations of Schopohl and Tewordt yield no direct coupling of zero sound to the $J=1^-$ modes. Thus, the identification of the absorption features reported by Ling, Saunders and Dobbs [{\sl Phys. Rev. Lett.} {\bf 59}, 461 (1987)] near the pair-breaking edge with the $J=1^-$ modes is not clearly established.	1	0	0
hep-ph/9302213	Neutrino Energy Loss from the Plasma Process at all Temperatures and Densities	We present a unified approach which is accurate at all temperatures and densities for calculating the energy loss from a stellar plasma due to the plasma process, the decay of photons and plasmons into neutrino pairs. To allow efficient numerical calculations, an analytic approximation to the dispersion equations for photons and plasmons is developed. It is correct to order $\alpha$ in the classical, degenerate, and relativistic limits for all momenta $k$ and is correct at small $k$ for all temperatures and electron densities. Within the same approximations, concise expressions are derived for the transverse, longitudinal, and axial vector components of the neutrino emissivity.	0	108	64
hep-th/9302038	SL(2, Z) Duality and Magnetically Charged Strings	Postulate of SL(2,\Z) invariance of toroidally compactified heterotic string theory in four dimensions implies the existence of new string (dual string) states carrying both, electric and magnetic charges. In this paper we study the interaction between these dual strings. In particular, we consider scattering of two such strings in the limit where one string passes through the other string without touching it, and show that such a scattering leads to the exchange of a fixed amount of electric and magnetic charges between the two strings.	0	34	31
math/9302210	Random polytopes and affine surface area	Let K be a convex body in $R^d$. A random polytope is the convex hull $[x_1,...,x_n]$ of finitely many points chosen at random in K. $\Bbb E(K,n)$ is the expectation of the volume of a random polytope of n randomly chosen points. I. B\'ar\'any showed that we have for convex bodies with $C^3$ boundary and everywhere positive curvature $$ c(d)\lim_{n \to \infty} \frac {vol_d(K)-\Bbb E(K,n)}{(\frac{vol_d(K)}{n})^{\frac{2}{d+1}}} =\int_{\partial K} \kappa(x)^{\frac{1}{d+1}}d\mu(x) $$ where $\kappa(x)$ denotes the Gau\ss-Kronecker curvature. We show that the same formula holds for all convex bodies if $\kappa(x)$ denotes the generalized Gau\ss-Kronecker curvature.	0	0	0
patt-sol/9303001	Rotating Rayleigh-Bénard Convection: Aspect Ratio Dependence of the Initial Bifurcations	The initial bifurcations in rotating Rayleigh-B\'enard convection are studied in the range of dimensionless rotation rate $0 < \Omega < 2150$ for an aspect-ratio-2.5 cylindrical cell. We used simultaneous optical shadowgraph, heat transport and local temperature measurements to determine the stability and characteristics of the azimuthally-periodic wall convection state. We also show that the second transition corresponds to the onset of bulk convection. Our results for critical Rayleigh numbers, precession frequencies and critical mode numbers agree well with theoretical results. The dynamics of the wall convection state can be described by a complex Ginzburg-Landau amplitude equation.	0	0	0
hep-th/9303087	Extended Non-Abelian Gauge Symmetries in Classical WZNW Model	The present paper is revised copy of hep-th/9303087 in which higher spin extensions of the nonabelian gauge symmetries for the classical WZNW model are considered. Both linear and nonlinear realizations of the extended affine Kac-Moody algebra are obtained. A characteristic property of the WZNW model is that it admits a higher spin linear realization of the extended affine Kac-Moody algebra which is equivalent to the corresponding higher spin nonlinear realization of the same algebra. However, in both cases the higher spin currents do not form an invariant space with respect to their generating transformations. This makes it imposible for this symmetry to be gauged.	0	3	3
hep-th/9303142	On a possible algebra morphism of U$_q$[OSP(1/2N)] onto the deformed oscillator algebra W$_q$(N)	We formulate a conjecture, stating that the algebra of $n$ pairs of deformed Bose creation and annihilation operators is a factor-algebra of $U_q[osp(1/2n)]$, considered as a Hopf algebra, and prove it for $n=2$ case. To this end we show that for any value of $q$ $U_q[osp(1/4)]$ can be viewed as a superalgebra, freely generated by two pairs $B_1^\pm$, $B_2^\pm$ of deformed para-Bose operators. We write down all Hopf algebra relations, an analogue of the Cartan-Weyl basis, the "commutation" relations between the generators and a basis in $U_q[osp(1/2n)]$ entirely in terms of $B_1^\pm$, $B_2^\pm$.	0	1	0
hep-ph/9303307	Flipped Angles and Phases: A Systematic Study	We discuss systematically the fermion mass and mixing matrices in a generic \linebreak field-theoretical flipped $SU(5)$ model, with particular applications to neutrino and baryon number-changing physics. We demonstrate that the different quark flavour branching ratios in proton decay are related to the Cabibbo-Kobayashi-Maskawa angles, whereas the lepton flavour branching ratios are undetermined. The light neutrino mixing angles observable via oscillation effects are related to the heavy conjugate (right-handed) neutrino mass matrix, which also plays a key role in cosmological baryogenesis. The ratios of neutrino and charged lepton decay modes in baryon decay may also be related to neutrino oscillation parameters. Plausible Ans\"atze for the generation structure of coupling matrices motivate additional relations between physical observables, and yield a satisfactory baryon asymmetry.	0	33	28
chao-dyn/9303018	Non-ergodicity for C^1 Expanding Maps	In this paper, we consider the question of existence and uniqueness of absolutely continuous invariant measures for expanding $C^1$ maps of the circle. This is a question which arises naturally from results which are known in the case of expanding $C^k$ maps of the circle where $k\geq 2$, or even $C^{1+\epsilon}$ expanding maps of the circle. In these cases, it is known that there exists a unique absolutely continuous invariant probability measure by the so-called `Folklore Theorem'. It follows that this measure is ergodic. It has been shown however that for $C^1$ maps there need not be any such measure. However, this leaves the question of whether there can be more than one such measure for $C^1$ expanding maps of the circle. This is the subject of this paper, and in it, we show that there exists a $C^1$ expanding map of the circle which has more than one absolutely continuous invariant probability measure.	0	0	0
hep-ph/9304204	From Kaon-Nuclear Interactions to Kaon Condensation	An effective chiral Lagrangian in heavy-fermion formalism whose parameters are constrained by kaon-nucleon and kaon-nuclear interactions next to the leading order in chiral expansion is used to describe kaon condensation in dense ``neutron star" matter. The critical density is found to be robust with respect to the parameters of the chiral Lagrangian and comes out to be $\rho_c\sim (3 - 4)\rho_0$. Once kaon condensation sets in, the system is no longer composed of neutron matter but of nuclear matter. Possible consequences on stellar collapse with the formation of compact ``nuclear stars" or light-mass black holes are pointed out.	0	153	21
hep-th/9304055	Dilaton, Antisymmetric Tensor and Gauge Fields in String Effective Theories at the One--loop Level	We investigate the dependence of the gauge couplings on the dilaton field in string effective theories at the one--loop level. First we resolve the discrepancies between statements based on symmetry considerations and explicit calculations in string effective theories on this subject. A calculation of the relevant one--loop scattering amplitudes in string theory gives us further information and allows us to derive the exact form of the corresponding effective Lagrangian. In particular there is no dilaton dependent one--loop correction to the holomorphic $f$--function arising from massive string modes in the loop. In addition we address the coupling of the antisymmetric tensor field to the gauge bosons at one--loop. While the string S--matrix elements are not reproduced using the usual supersymmetric Lagrangian with the chiral superfield representation for the dilaton field, the analogue Lagrangian with the dilaton in a linear multiplet naturally gives the correct answer.	0	42	34
cond-mat/9304032	Subharmonic Generation in Quantum Systems	We show how the classical-quantum correspondence permits long-lived subharmonic motion in a quantum system driven by a periodic force. Exponentially small deviations from exact subharmonicity are due to coherent tunneling between quantized vortex tubes which surround classical elliptic periodic orbits.	1	0	0
hep-ph/9304283	Asymptotic behaviour of the total cross section of p-p scattering and the Akeno cosmic ray data	I present a new determination of the total cross section for proton-proton collisions from the recent Akeno results on absorption of the cosmic ray protons in the p-Air collisions. Extrapolation to the SSC energy suggests $\sigma_{tot}(p-p) \approx (160-170) mb$. I also comment on a possible sensitivity of the p-Air cross section determinations to assumptions on the inelasticity of nuclear collisions at high energy.	0	12	10
hep-ph/9305218	Radiative Corrections to Supersymmetric Higgs Boson Masses	We discuss the large radiative corrections to the masses of supersymmetric Higgs bosons in the MSSM and in its simplest extension, the NMSSM, with particular attention paid to the bounds on the lightest CP-even Higgs mass found in both models. In the case of the MSSM, these corrections are found to be primarily associated with the effects top quark and stop squark loops, while for extended models they also include significant contributions from Higgs and Higgsino loops. (Talk presented at SUSY-93, Boston, March 1993)	0	0	0
cond-mat/9305024	Theories for v=1/2 in Single- and Double-Layer Systems	Recent experiments have shown that a quantized Hall plateau can occur in double layer systems at total filling factor v=1/2, though there is no plateau at v=1/2 in a normal single layer system. For the single layer system, considerable insight has been provided by a theory based on the fermion Chern-Simons picture, where the electrons are transformed into fermions that carry two flux quanta of a Chern-Simons gauge field. A similar picture can be used to characterize ground states which have been proposed for the two layer system.	1	0	0
hep-th/9305114	Fermionic Character Sums and the Corner Transfer Matrix	We present a ``natural finitization'' of the fermionic q-series (certain generalizations of the Rogers-Ramanujan sums) which were recently conjectured to be equal to Virasoro characters of the unitary minimal conformal field theory (CFT) M(p,p+1). Within the quasi-particle interpretation of the fermionic q-series this finitization amounts to introducing an ultraviolet cutoff, which -- contrary to a lattice spacing -- does not modify the linear dispersion relation. The resulting polynomials are conjectured (proven, for p=3,4) to be equal to corner transfer matrix (CTM) sums which arise in the computation of order parameters in regime III of the r=p+1 RSOS model of Andrews, Baxter, and Forrester. Following Schur's proof of the Rogers-Ramanujan identities, these authors have shown that the infinite-lattice limit of the CTM sums gives what later became known as the Rocha-Caridi formula for the Virasoro characters. Thus we provide a proof of the fermionic q-series representation for the Virasoro characters for p=4 (the case p=3 is ``trivial''), in addition to extending the remarkable connection between CFT and off-critical RSOS models. We also discuss finitizations of the CFT modular-invariant partition functions.	0	61	47
