,filename,cell_index,cell_type,slide_type,n_lines,cell_text
108,12_news_aggregator.ipynb,38,code,-,9,"# get texts	def row2text(r):	import re	# the same format as for BBC: lowercase without punctuation	text = str(r[""headline""]) + "" "" + str(r[""short_description""])	return re.sub(r'[^\w\s]', '', text.lower())		df_news[""text""] = df_news.fillna(""."").apply(row2text, axis=1)#[""text""]	df_news.head()"
109,12_news_aggregator.ipynb,39,code,-,1,df_news.category.unique()
110,12_news_aggregator.ipynb,40,code,-,46,"# convert categories	categories_mapping = {	""CRIME"": ""Society"",	""ENTERTAINMENT"": ""Entertainment"",	""WORLD NEWS"": ""Society"",	""IMPACT"": ""NotNews"",	""POLITICS"": ""Society"",	""WEIRD NEWS"": ""Other"",	""BLACK VOICES"": ""Society"",	""WOMEN"": ""NotNews"",	""COMEDY"": ""Entertainment"",	""QUEER VOICES"": ""Society"",	""SPORTS"": ""Sports"",	""BUSINESS"": ""Economy"",	""TRAVEL"": ""NotNews"",	""MEDIA"": ""Society"",	""TECH"": ""Technology"",	""RELIGION"": ""Society"",	""SCIENCE"": ""Science"",	""LATINO VOICES"": ""Society"",	""EDUCATION"": ""Society"",	""COLLEGE"": ""Society"",	""PARENTS"": ""NotNews"",	""ARTS & CULTURE"": ""Society"",	""STYLE"": ""NotNews"",	""GREEN"": ""Society"",	""TASTE"": ""NotNews"",	""HEALTHY LIVING"": ""NotNews"",	""THE WORLDPOST"": ""Society"",	""GOOD NEWS"": ""Other"",	""WORLDPOST"": ""Society"",	""FIFTY"": ""NotNews"",	""ARTS"": ""NotNews"",	""WELLNESS"": ""NotNews"",	""PARENTING"": ""NotNews"",	""HOME & LIVING"": ""NotNews"",	""STYLE & BEAUTY"": ""NotNews"",	""DIVORCE"": ""NotNews"",	""WEDDINGS"": ""NotNews"",	""FOOD & DRINK"": ""NotNews"",	""MONEY"": ""NotNews"",	""ENVIRONMENT"": ""Other"",	""CULTURE & ARTS"": ""NotNews"",	}	df_news[""ContestCategory""] = df_news.category.map(categories_mapping)	df_news.head(10)"
111,12_news_aggregator.ipynb,41,markdown,slide,3,"## Combine datasets		As we see, datasets are different:"
112,12_news_aggregator.ipynb,42,code,slide,7,"def describe_dataset(df):	total_tokens = sum([len(s.split()) for s in df.text])	print(f""\tsamples: {df.shape[0]}, avg tokens: {total_tokens / df.shape[0]}, total tokens: {total_tokens}"")	print(""BBC:"")	describe_dataset(df_bbc)	print(""News Category Dataset"")	describe_dataset(df_news)"
113,12_news_aggregator.ipynb,43,markdown,slide,1,**Q: how to train a classifier with two datasets?**
114,12_news_aggregator.ipynb,44,markdown,slide,1,## Colab demo: Train the classifier
115,12_news_aggregator.ipynb,45,markdown,-,1,Try the following approach: assign larger weight to samples with full texts.
116,12_news_aggregator.ipynb,46,code,-,2,"df_bbc[""weight""] = 1.0	df_news[""weight""] = 0.1"
117,12_news_aggregator.ipynb,47,markdown,-,1,Combine and shuffle
118,12_news_aggregator.ipynb,48,code,-,9,"from sklearn.utils import shuffle	df = pd.concat(	[	df_bbc[[""text"", ""ContestCategory"", ""weight""]],	df_news[[""text"", ""ContestCategory"", ""weight""]]	]	)	df = shuffle(df)	df.head()"
119,12_news_aggregator.ipynb,49,markdown,-,1,Train the classifier
120,12_news_aggregator.ipynb,50,code,-,24,"from sklearn.linear_model import SGDClassifier	from sklearn.feature_extraction.text import TfidfVectorizer	from sklearn.pipeline import Pipeline	from sklearn.model_selection import GridSearchCV	from sklearn.preprocessing import LabelEncoder		le = LabelEncoder()	y = le.fit_transform(df.ContestCategory)		vec = TfidfVectorizer(stop_words=""english"")	clf = SGDClassifier(max_iter=50, loss=""log"", random_state=0)	pipeline = Pipeline([	(""vec"", vec),	(""clf"", clf),	])		param_grid = {	""clf__alpha"": [1e-6, 1e-7, 1e-8],	}		pipeline_grid_search = GridSearchCV(estimator=pipeline, param_grid=param_grid, cv=3, refit=True)	pipeline_grid_search.fit(df.text, y, clf__sample_weight=df.weight)		display_cv_results(pipeline_grid_search)"
121,12_news_aggregator.ipynb,51,markdown,-,1,Apply on the contest data
122,12_news_aggregator.ipynb,52,code,-,6,"texts = [s.text for s in samples_en]	predictions = le.inverse_transform(pipeline_grid_search.predict(texts))	for p, s in zip(predictions[:10], samples_en[:10]):	print(p)	print(s.title)	print(""---"")"
123,12_news_aggregator.ipynb,53,markdown,slide,7,"# Clustering		**Problems**:	1. In $k$-means algotithm, $k$ depends on the number of samples.	2. We cannot find centroids using one dataset and apply them on another dataset (news are time-dependent).	3. How do we understand if the number of clusters is too small?	4. How do we understand if the number of clusters is too large?"
124,12_news_aggregator.ipynb,54,markdown,slide,5,"## Agglomerative clustering		<center>	<img src=""https://upload.wikimedia.org/wikipedia/commons/a/ad/Hierarchical_clustering_simple_diagram.svg"">	</center>"
125,12_news_aggregator.ipynb,55,markdown,slide,3,"Complexity $O(n^2)$.	- OK for our dataset (clusterize each category)	- In general, can split the data: news are _time-dependent_, so split by 10000 with overlap 2000"
126,12_news_aggregator.ipynb,56,markdown,slide,1,**Q: How to choose the distance threshold?**
127,12_news_aggregator.ipynb,57,markdown,slide,2,- Measure the max in-cluster distance.	- Use the time of publishing! News should be close in time.
128,12_news_aggregator.ipynb,58,markdown,slide,1,## Colab demo: find clusters using agglomerative clustering
